City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date
Aranos,19.12,-24.13,42.75,63,9.93,0,NA,1596674206
Burnie,145.92,-41.07,48.99,52,14.0,0,AU,1596674207
Ushuaia,-68.3,-54.8,39.2,69,18.34,75,AR,1596674046
Saint Paul Harbor,-152.41,57.79,71.6,43,13.87,1,US,1596674209
Marabu,114.01,4.41,77.0,88,10.29,40,MY,1596674066
Balkanabat,54.37,39.51,80.42,33,6.11,100,TM,1596674209
Yangi Marg`ilon,71.72,40.43,77.0,41,9.17,0,UZ,1596674210
Mataura,168.86,-46.19,48.0,87,2.64,100,NZ,1596674210
Jamestown,-79.24,42.1,64.0,72,6.93,1,US,1596674191
Busselton,115.33,-33.65,46.99,86,8.75,0,AU,1596674211
Yellowknife,-114.35,62.46,68.0,64,12.75,40,CA,1596674211
Pevek,170.31,69.7,34.9,96,5.46,100,RU,1596674196
Margate,1.39,51.38,64.99,76,5.01,29,GB,1596674212
Dingle,122.67,11.0,82.54,80,3.76,73,PH,1596674212
Tandil,-59.13,-37.32,57.99,80,1.99,0,AR,1596674212
Marawi,124.29,8.0,77.0,93,5.99,61,PH,1596674212
Butaritari,172.79,3.07,84.2,75,21.9,4,KI,1596674213
Bogorodskoye,37.88,56.55,64.45,81,6.15,100,RU,1596674213
Aksarka,67.8,66.56,60.15,68,8.7,86,RU,1596674213
Dikson,80.55,73.51,46.65,93,19.71,100,RU,1596674209
Makkah al Mukarramah,39.83,21.43,84.88,64,13.22,0,SA,1596674045
Nelson Bay,152.15,-32.72,55.0,53,16.11,20,AU,1596674070
Ust-Nera,143.2,64.57,71.31,29,7.85,0,RU,1596674214
Cape Coast,-1.25,5.11,72.46,84,12.77,28,GH,1596674215
Hobart,147.33,-42.88,48.0,65,11.41,75,AU,1596674209
Port Alfred,26.89,-33.59,56.35,91,17.78,100,ZA,1596674124
Laas,10.7,46.62,55.0,100,2.24,0,IT,1596674216
San Angelo,-100.44,31.46,100.0,27,1.99,0,US,1596673998
Vaini,-175.2,-21.2,75.2,64,6.93,20,TO,1596673956
Sayyan,44.32,15.17,60.35,77,4.45,87,YE,1596674216
Clyde River,-68.59,70.47,41.0,75,12.75,75,CA,1596674217
Codrington,141.97,-38.27,52.84,71,7.83,4,AU,1596674217
Atuona,-139.03,-9.8,79.27,72,16.11,1,PF,1596674218
Palmas,-48.36,-10.21,77.0,53,5.82,32,BR,1596674113
Alberton,-64.07,46.82,72.0,76,16.35,0,CA,1596674218
Albany,-73.97,42.6,72.0,60,5.01,0,US,1596673948
Kentau,68.51,43.52,78.67,25,3.29,90,KZ,1596674220
Pervomayskoye,46.71,43.92,66.88,76,8.12,0,RU,1596674220
Geraldton,114.6,-28.77,50.0,87,5.82,75,AU,1596674221
Chokurdakh,147.92,70.63,67.59,39,12.08,100,RU,1596674221
Oriximiná,-55.87,-1.77,81.12,56,2.57,0,BR,1596674221
George Town,100.34,5.41,82.4,88,3.36,20,MY,1596674110
Aklavik,-135.01,68.22,51.8,87,4.7,90,CA,1596674222
Ahipara,173.17,-35.17,61.3,77,11.77,100,NZ,1596674222
Katsuura,140.3,35.13,86.0,75,11.1,0,JP,1596674223
Tiksi,128.87,71.69,55.72,75,6.8,100,RU,1596674223
Khatanga,102.5,71.97,61.92,68,12.97,95,RU,1596674223
Doctor Juan Manuel Frutos,-55.8,-25.37,65.84,54,7.85,0,PY,1596674223
Bandarbeyla,50.81,9.49,79.86,64,28.7,100,SO,1596674224
Esim,-2.24,4.87,73.18,80,11.41,72,GH,1596674224
Hithadhoo,73.08,-0.6,82.89,69,11.97,100,MV,1596674073
Barrow,-156.79,71.29,48.2,76,9.17,1,US,1596674225
Champerico,-91.92,14.3,84.2,83,9.17,75,GT,1596674225
Khovd,91.64,48.01,63.32,53,3.0,0,MN,1596674225
Tuktoyaktuk,-133.04,69.45,50.0,87,8.05,90,CA,1596674226
Port Blair,92.75,11.67,82.42,81,14.61,100,IN,1596674226
Ancud,-73.82,-41.87,43.0,86,5.82,40,CL,1596674226
Izumo,132.77,35.37,87.8,66,11.41,0,JP,1596674227
‘Ewa Beach,-158.01,21.32,87.8,52,9.17,75,US,1596674123
Icatu,-44.07,-2.78,78.8,88,5.82,40,BR,1596674228
East London,27.91,-33.02,59.4,83,18.48,57,ZA,1596674228
Morwell,146.4,-38.23,48.99,80,5.99,0,AU,1596674229
Kieta,155.63,-6.22,85.82,61,3.58,99,PG,1596674229
Haines Junction,-137.51,60.75,63.37,40,5.97,84,CA,1596674229
Jatai,-51.71,-17.88,63.43,35,4.81,0,BR,1596674230
Tākestān,49.7,36.07,64.4,68,4.7,40,IR,1596674230
Chinsali,32.08,-10.54,55.26,75,4.5,0,ZM,1596674230
Bijāwar,79.5,24.63,79.14,89,5.55,100,IN,1596674231
Urdoma,48.54,61.75,59.41,86,7.07,100,RU,1596674231
Veseloyarsk,81.11,51.28,64.06,68,13.13,0,RU,1596674232
Kaitangata,169.85,-46.28,50.0,72,4.72,100,NZ,1596674232
San Patricio,-104.7,19.22,86.0,79,13.87,75,MX,1596674040
Saint-Pierre,55.48,-21.34,62.6,63,6.93,40,RE,1596674233
Ongandjera,15.07,-17.88,53.02,51,8.9,0,NA,1596674233
Oxford,-1.26,51.75,64.4,88,9.17,100,GB,1596673972
Caluquembe,14.68,-13.78,50.27,79,2.48,0,AO,1596674235
Suntar,117.63,62.14,73.02,48,4.07,0,RU,1596674236
Kemijärvi,27.43,66.71,52.09,89,7.56,90,FI,1596674236
Ribeira Grande,-28.7,38.52,70.3,70,6.64,100,PT,1596674236
Ndola,28.64,-12.96,53.13,63,4.09,0,ZM,1596674199
Lyambir',45.12,54.28,61.59,97,6.24,21,RU,1596674237
Coquimbo,-71.34,-29.95,55.4,87,4.7,95,CL,1596673973
Kapuskasing,-82.43,49.42,59.0,93,5.82,75,CA,1596674237
Carnarvon,113.63,-24.87,55.4,82,6.93,0,AU,1596674238
Henties Bay,14.28,-22.12,50.0,78,10.36,0,NA,1596674238
Upernavik,-56.15,72.79,40.68,68,0.87,100,GL,1596674238
Mahébourg,57.7,-20.41,66.2,72,6.93,75,MU,1596674239
Walker,-95.57,30.73,95.0,44,6.93,1,US,1596674239
Visnes,5.22,59.36,60.8,93,11.41,90,NO,1596674239
Hermanus,19.23,-34.42,53.17,62,5.37,100,ZA,1596674240
Jacareacanga,-57.75,-6.22,81.68,46,1.3,87,BR,1596674240
Leningradskiy,178.42,69.38,37.99,87,13.33,100,RU,1596674240
Siparia,-61.5,10.13,80.01,88,3.36,20,TT,1596674240
Mārkāpur,79.28,15.73,78.04,81,8.32,100,IN,1596674240
Pozo Colorado,-58.8,-23.49,72.09,35,7.11,0,PY,1596674241
Vokhma,46.76,58.93,54.37,91,2.57,62,RU,1596674241
Vostok,135.88,46.49,63.68,98,1.72,99,RU,1596674242
Saskylakh,114.08,71.92,66.83,62,13.69,27,RU,1596674242
Avarua,-159.78,-21.21,78.8,88,13.87,1,CK,1596674242
Juneau,-134.42,58.3,63.0,87,4.7,90,US,1596674243
Ponta do Sol,-17.1,32.67,71.6,73,6.93,40,PT,1596674243
Vitória,-40.34,-20.32,64.4,93,4.7,20,BR,1596673994
Mar del Plata,-57.56,-38.0,59.0,93,3.36,97,AR,1596673962
Umluj,37.27,25.02,83.28,64,4.0,0,SA,1596674200
Vila Franca do Campo,-25.43,37.72,71.6,83,8.05,20,PT,1596674244
Ilo,-71.34,-17.64,56.97,79,3.18,70,PE,1596674245
Plettenberg Bay,23.37,-34.05,49.93,76,10.96,57,ZA,1596674245
Longyearbyen,15.64,78.22,53.6,76,5.82,75,SJ,1596674245
Vila Velha,-40.29,-20.33,64.4,93,4.7,20,BR,1596674245
Mount Isa,139.5,-20.73,78.8,34,14.99,75,AU,1596674246
Husavik,-17.34,66.04,53.6,71,9.17,75,IS,1596674246
Jieshi,115.83,22.81,83.1,80,10.56,100,CN,1596674246
Russell,-85.2,32.35,87.8,74,1.36,1,US,1596674247
Marquette,-87.63,46.53,70.0,59,2.28,22,US,1596674247
Ambilobe,49.05,-13.2,62.82,84,3.87,100,MG,1596674247
Marrakesh,-8.01,31.63,75.2,64,9.17,80,MA,1596674248
Srednekolymsk,153.68,67.45,70.65,31,14.94,0,RU,1596674248
Boa Vista,-60.67,2.82,80.6,78,2.24,40,BR,1596674248
Beringovskiy,179.32,63.05,49.37,75,15.32,100,RU,1596674249
Boda,17.47,4.32,69.15,92,2.77,100,CF,1596674249
Kiryat Gat,34.76,31.61,75.0,56,6.78,0,IL,1596674249
Uniontown,-79.72,39.9,71.01,44,1.74,4,US,1596674250
Hobyo,48.53,5.35,76.51,77,22.88,88,SO,1596674250
Udachny,112.4,66.42,68.0,37,4.47,0,RU,1596674251
Nouadhibou,-17.03,20.93,69.8,88,9.17,0,MR,1596674251
Sechura,-80.82,-5.56,62.65,76,14.63,0,PE,1596674251
Verkh-Usugli,115.17,52.7,57.24,96,1.57,100,RU,1596674251
Rovaniemi,25.72,66.5,53.6,93,8.05,44,FI,1596674252
Bathsheba,-59.52,13.22,82.4,74,13.87,40,BB,1596674252
Chui,-53.46,-33.7,63.79,84,10.13,0,UY,1596674252
Esperance,121.9,-33.87,51.8,87,10.29,75,AU,1596674249
Choya,86.55,52.01,62.78,76,1.07,0,RU,1596674253
St. George's,-61.75,12.06,82.4,78,11.41,20,GD,1596674253
Fuerte,120.36,17.54,85.41,68,3.04,86,PH,1596674253
Navahrudak,25.83,53.6,55.94,91,6.4,74,BY,1596674254
Sarany,58.88,58.5,54.19,93,3.69,0,RU,1596674254
Dudinka,86.18,69.41,57.2,82,4.47,0,RU,1596674254
Sabha,14.43,27.04,87.04,15,13.35,0,LY,1596674255
Rapid Valley,-103.15,44.06,84.99,25,7.02,1,US,1596674255
Qaanaaq,-69.36,77.48,33.76,81,1.36,11,GL,1596673959
Borogontsy,131.17,62.67,76.1,31,3.53,32,RU,1596674256
Batagay,134.63,67.63,75.58,29,5.46,0,RU,1596674256
Magole,37.37,-6.37,66.69,90,2.68,29,TZ,1596674257
Zhigansk,123.37,66.77,72.0,43,0.67,95,RU,1596674257
Salalah,54.09,17.02,78.8,88,6.93,40,OM,1596674257
Hilo,-155.09,19.73,87.8,55,10.29,40,US,1596674258
Koulamoutou,12.47,-1.13,70.9,82,2.1,31,GA,1596674258
Kenai,-151.26,60.55,71.6,49,6.93,1,US,1596674258
Chimoré,-65.13,-16.98,73.36,53,3.38,0,BO,1596674259
Kaihua,104.28,23.37,68.61,90,2.91,100,CN,1596674259
Camacha,-16.33,33.08,71.6,78,8.05,75,PT,1596674027
Āsmār,71.36,35.03,78.91,53,3.31,5,AF,1596674260
Deputatsky,139.9,69.3,63.23,51,20.89,100,RU,1596674260
Majene,118.97,-3.54,79.63,81,11.01,33,ID,1596674260
Tura,90.22,25.52,75.54,96,4.27,100,IN,1596674261
Nikolskoye,30.79,59.7,59.0,67,4.47,68,RU,1596674261
Tual,132.75,-5.67,78.17,86,12.64,62,ID,1596674261
Zharkent,80.0,44.16,78.37,32,3.89,100,KZ,1596674262
Magaria,8.91,13.0,78.78,75,13.18,100,NE,1596674262
Maple Creek,-109.48,49.92,85.12,24,5.88,0,CA,1596674262
Sabang,95.32,5.89,83.12,72,4.18,100,ID,1596674263
Río Gallegos,-69.22,-51.62,33.8,86,11.41,100,AR,1596674263
Periyanayakkanpalaiyam,76.93,11.15,78.8,74,9.17,40,IN,1596674263
Banda Aceh,95.32,5.56,81.82,69,3.56,100,ID,1596674264
Severnoye,78.36,56.35,63.48,76,4.63,5,RU,1596674264
Bredasdorp,20.04,-34.53,42.8,93,5.82,81,ZA,1596674265
Necochea,-58.74,-38.55,52.0,99,1.99,100,AR,1596674265
Vestmannaeyjar,-20.27,63.44,51.58,84,13.15,100,IS,1596674265
Pekan,103.4,3.48,78.8,94,3.29,20,MY,1596674266
Isangel,169.27,-19.55,77.0,57,10.29,0,VU,1596674267
Port Hedland,118.57,-20.32,66.2,39,16.11,97,AU,1596674267
Sulangan,123.72,11.14,82.02,79,7.52,100,PH,1596674268
La Palma,-118.05,33.85,82.99,50,9.17,1,US,1596674268
Madera,-119.83,37.17,90.0,25,1.01,0,US,1596674268
Guerrero Negro,-114.06,27.98,71.96,71,17.43,0,MX,1596674269
Airai,125.41,-8.93,67.87,66,1.57,15,TL,1596674269
Bonnyville,-110.73,54.27,82.4,39,8.05,20,CA,1596673980
Labuhan,112.21,-6.88,79.79,75,6.06,100,ID,1596674270
Cortez,-108.59,37.35,87.8,19,4.7,20,US,1596674270
Bhīnmāl,72.25,25.0,87.67,69,5.55,100,IN,1596674142
Natá,-80.52,8.33,73.99,87,10.42,100,PA,1596674273
Bethel,-73.41,41.37,75.2,57,3.36,20,US,1596674055
Dutlwe,23.9,-23.98,51.96,39,7.52,0,BW,1596674273
Upornaya,41.02,44.39,60.19,58,5.48,0,RU,1596674273
Cabo San Lucas,-109.91,22.89,91.99,43,11.41,5,MX,1596674235
Kondinskoye,67.41,59.65,60.49,78,4.29,0,RU,1596674274
São José da Coroa Grande,-35.15,-8.9,73.8,77,13.13,4,BR,1596674274
San Andrés,-81.7,12.58,82.4,74,3.36,40,CO,1596674119
Oranjemund,16.43,-28.55,50.2,76,6.82,0,NA,1596674275
Bambous Virieux,57.76,-20.34,66.2,72,6.93,75,MU,1596674275
Pinewood,-80.22,25.87,82.99,83,10.29,75,US,1596674276
Jimma,36.83,7.67,57.15,89,0.72,98,ET,1596674276
Salinópolis,-47.36,-0.61,78.87,83,12.01,0,BR,1596674277
Thompson,-97.86,55.74,82.4,34,9.17,40,CA,1596674015
Havre-St-Pierre,-63.6,50.23,62.6,100,9.17,75,CA,1596674277
Jinan,117.0,36.67,82.0,85,4.29,100,CN,1596674278
Matveyev Kurgan,38.87,47.56,69.85,73,9.1,0,RU,1596674278
Verāval,70.37,20.9,81.14,91,19.06,100,IN,1596674278
Shelopugino,117.56,51.65,63.19,83,2.48,97,RU,1596674279
Laurentides,-74.98,46.43,60.24,65,5.48,78,CA,1596674279
Kruisfontein,24.73,-34.0,50.0,91,3.0,0,ZA,1596674279
Novo Cruzeiro,-41.88,-17.47,53.92,98,5.37,9,BR,1596674279
Elektrėnai,24.63,54.77,57.2,87,1.12,19,LT,1596674280
Qarchī Gak,66.79,37.04,80.6,26,6.93,5,AF,1596674280
Jarocin,17.5,51.97,60.01,77,5.23,15,PL,1596674280
Zhangye,100.45,38.93,82.36,32,9.33,32,CN,1596674281
Qui Nhon,109.23,13.77,83.89,71,3.49,100,VN,1596674281
Bambanglipuro,110.28,-7.95,78.1,77,13.38,49,ID,1596674282
Fortuna,-124.16,40.6,61.0,95,1.99,83,US,1596674282
La Ronge,-105.28,55.1,82.4,34,11.41,20,CA,1596674282
Buchanan,-10.05,5.88,71.6,94,7.34,20,LR,1596674283
Yeppoon,150.73,-23.13,68.0,82,3.36,20,AU,1596674283
Vanimo,141.3,-2.67,76.87,91,5.46,100,PG,1596674283
Kashgar,75.98,39.45,71.6,37,8.95,6,CN,1596674284
Wattegama,81.48,6.8,79.21,70,8.66,100,LK,1596674284
Lata,-8.33,40.16,66.99,63,2.91,0,PT,1596674284
Indramayu,108.32,-6.33,80.74,71,11.97,79,ID,1596674285
Litovko,135.17,49.24,55.65,92,10.92,97,RU,1596674285
Zabaykal'sk,117.32,49.63,68.02,73,5.44,28,RU,1596674285
Arlit,7.39,18.74,95.92,26,9.44,0,NE,1596674285
Hervey Bay,152.85,-25.3,77.0,68,6.93,0,AU,1596674284
Nanortalik,-45.24,60.14,43.05,88,9.64,64,GL,1596674286
Rønne,14.71,55.1,64.4,82,5.82,0,DK,1596674287
Mossamedes,12.15,-15.2,61.3,84,7.11,0,AO,1596674287
Camopi,-52.32,3.17,73.2,96,2.55,100,GF,1596674287
Lüderitz,15.16,-26.65,51.8,61,19.46,0,NA,1596674288
Xingcheng,120.72,40.62,83.28,63,3.6,0,CN,1596674288
Karratha,116.85,-20.74,65.75,39,21.63,98,AU,1596674029
Flin Flon,-101.86,54.77,84.2,32,10.29,20,CA,1596674290
Faanui,-151.75,-16.48,78.28,82,14.36,0,PF,1596674291
Jinchang,102.17,38.5,79.18,37,5.73,59,CN,1596674291
Mount Gambier,140.77,-37.83,46.4,93,1.12,40,AU,1596674292
Poum,164.02,-20.23,70.39,73,4.43,2,NC,1596674292
Fare,-151.02,-16.7,79.2,78,13.2,0,PF,1596674292
Acacías,-73.76,3.99,78.8,74,3.36,75,CO,1596674293
Bol,14.71,13.46,80.62,82,13.94,100,TD,1596674293
Bobrovka,61.75,54.05,64.96,76,8.57,0,RU,1596674293
Souillac,57.52,-20.52,66.2,72,6.93,75,MU,1596674127
Lakes Entrance,147.98,-37.88,51.01,69,1.99,0,AU,1596674294
Nanchang,115.88,28.68,84.63,69,8.08,87,CN,1596674294
Otradnoye,30.82,59.78,59.0,67,4.47,53,RU,1596674294
College,-147.8,64.86,73.0,40,6.93,40,US,1596674294
Omboué,9.26,-1.57,72.7,84,4.18,60,GA,1596674295
Hualmay,-77.61,-11.1,59.83,82,8.55,31,PE,1596674295
Penzance,-5.54,50.12,62.01,100,2.24,63,GB,1596674295
Cabedelo,-34.83,-6.98,73.4,88,5.82,32,BR,1596674296
Alofi,-169.92,-19.06,77.0,94,9.17,75,NU,1596674296
Sokolo,-6.12,14.73,74.68,91,7.05,57,ML,1596674296
Corvallis,-123.26,44.56,82.99,44,16.11,1,US,1596674296
Te Anau,167.72,-45.42,50.94,86,1.52,100,NZ,1596674297
Kamsack,-101.9,51.57,78.8,36,6.93,1,CA,1596674297
Fairview,-74.0,40.81,84.2,42,3.36,0,US,1596674298
Elk Plain,-122.4,47.05,82.4,37,3.36,1,US,1596674298
Manokwari,134.08,-0.87,82.78,69,3.87,91,ID,1596674298
Kumluca,30.29,36.37,86.23,40,4.14,0,TR,1596674298
Martinópolis,-51.17,-22.15,65.1,45,9.1,0,BR,1596674299
Kjøllefjord,27.35,70.95,50.16,86,1.86,76,NO,1596674299
Ystad,13.82,55.43,63.0,93,2.24,0,SE,1596674299
Altamira,-52.21,-3.2,76.69,54,3.18,0,BR,1596674300
Sinnamary,-52.95,5.38,78.91,87,9.57,100,GF,1596674301
Kahului,-156.47,20.89,89.6,46,23.04,40,US,1596674139
Saint Anthony,-93.22,45.02,73.4,53,10.29,40,US,1596674302
Alyangula,136.42,-13.85,78.8,78,10.29,75,AU,1596674302
Namatanai,152.43,-3.67,85.3,68,10.45,100,PG,1596674302
Rodino,80.25,52.5,64.96,63,9.62,0,RU,1596674303
Olafsvik,-23.71,64.89,50.07,85,14.41,100,IS,1596674304
Takoradze,-1.76,4.88,72.86,81,12.71,42,GH,1596674304
Tagusao,117.81,9.19,83.16,72,3.71,17,PH,1596674305
Adrar,-10.07,20.5,94.66,28,13.62,2,MR,1596674305
Lamu,40.9,-2.27,74.91,83,11.45,16,KE,1596674305
Severo-Kuril'sk,156.12,50.68,53.31,85,13.02,100,RU,1596674117
Nioro,-15.75,13.35,74.7,95,5.46,90,GM,1596674306
São Domingos do Maranhão,-44.39,-5.58,77.56,43,7.74,0,BR,1596674306
Yelniki,43.88,54.62,59.54,94,6.15,6,RU,1596674307
Vao,167.48,-22.67,69.75,64,6.98,0,NC,1596674307
Zapolyarnyy,30.81,69.42,48.2,93,6.93,100,RU,1596674307
Lavrentiya,-171.0,65.58,45.64,77,10.89,100,RU,1596674308
Tutóia,-42.27,-2.76,78.98,75,11.14,0,BR,1596674308
Margaritas,-102.47,20.45,72.57,72,2.19,50,MX,1596674309
Dicabisagan,122.42,17.08,85.69,66,1.83,100,PH,1596674309
Cherskiy,161.3,68.75,52.54,68,4.92,68,RU,1596674310
Paita,-81.11,-5.09,61.63,82,14.47,8,PE,1596674310
Padang,100.35,-0.95,80.6,69,3.15,100,ID,1596674311
Truth or Consequences,-107.25,33.13,96.8,16,14.99,20,US,1596674311
Krasnosel'kup,82.47,65.7,61.14,67,9.89,0,RU,1596674105
Richards Bay,32.04,-28.78,63.01,84,12.37,0,ZA,1596674312
Mehamn,27.85,71.04,51.03,85,1.43,97,NO,1596674313
Abu Samrah,37.18,35.3,70.92,77,11.86,0,SY,1596674313
Selfoss,-21.0,63.93,48.0,99,13.0,100,IS,1596674061
São Filipe,-24.5,14.9,77.7,82,6.38,2,CV,1596674314
Praia da Vitória,-27.07,38.73,73.4,83,8.01,40,PT,1596674315
Sambava,50.17,-14.27,66.02,84,9.1,35,MG,1596674315
Bontang,117.5,0.13,76.98,84,11.59,100,ID,1596674156
Millington,-89.9,35.34,78.8,54,4.7,1,US,1596674016
Isla Mujeres,-86.73,21.23,86.0,74,8.05,75,MX,1596674316
Kyra,111.98,49.58,65.35,77,3.0,76,RU,1596674316
Tabou,-7.35,4.42,71.87,77,6.8,11,CI,1596674316
Pisco,-76.22,-13.7,62.01,82,12.75,75,PE,1596674037
Rassvet,40.75,46.83,68.41,73,6.4,0,RU,1596674317
Upata,-62.4,8.01,79.0,87,1.99,100,VE,1596674318
Maceió,-35.74,-9.67,71.6,88,4.7,75,BR,1596674198
Todos Santos,-110.22,23.45,77.0,80,3.0,99,MX,1596674319
Lucapa,20.74,-8.42,66.63,33,3.22,0,AO,1596674319
Kualakapuas,114.39,-3.01,75.2,100,5.82,20,ID,1596674320
Władysławowo,18.4,54.79,61.0,76,1.12,100,PL,1596674321
Sakakah,40.21,29.97,82.4,34,17.22,0,SA,1596674321
Saýat,63.88,38.78,69.8,40,11.41,0,TM,1596674322
Mongoumba,18.59,3.64,71.47,82,1.03,100,CF,1596674322
Molo,35.74,-0.25,48.29,92,3.0,15,KE,1596674323
Vitim,112.56,59.45,71.49,61,2.48,100,RU,1596674324
Grand Gaube,57.66,-20.01,66.2,72,6.93,75,MU,1596674324
Solnechnyy,136.63,50.72,49.3,88,8.84,100,RU,1596674325
Hasaki,140.83,35.73,86.0,70,6.93,40,JP,1596674325
King City,-121.13,36.21,82.99,27,3.0,0,US,1596674313
Ileza,43.9,61.05,58.17,98,4.63,39,RU,1596674326
Kupang,123.58,-10.17,80.6,69,6.93,20,ID,1596674326
Kidal,1.41,18.44,85.93,55,8.25,43,ML,1596674327
Salme,85.09,28.04,71.6,100,2.24,75,NP,1596674328
Sørland,12.69,67.67,57.18,80,13.62,3,NO,1596674328
Pochutla,-96.47,15.74,86.0,70,4.7,90,MX,1596674328
Saint-Joseph,55.62,-21.37,62.6,63,6.93,40,RE,1596674329
Karīmganj,92.35,24.87,79.41,93,3.09,96,IN,1596674329
Xining,101.77,36.62,63.3,80,3.04,100,CN,1596674329
Ilhabela,-45.36,-23.78,66.78,81,8.88,17,BR,1596674330
Ossora,163.07,59.24,61.77,55,12.66,98,RU,1596674330
Lagoa,-27.98,39.05,69.75,73,11.1,100,PT,1596674330
Bulawayo,28.58,-20.15,52.79,47,9.35,0,ZW,1596674331
Bonthe,-12.51,7.53,74.26,76,6.33,99,SL,1596674331
Probolinggo,113.22,-7.75,81.32,63,12.77,89,ID,1596674331
Shingū,135.98,33.73,82.4,78,5.82,20,JP,1596674332
Cidreira,-50.21,-30.18,60.78,83,8.39,0,BR,1596674332
Grand Island,-98.34,40.92,80.6,61,10.29,1,US,1596674259
Manthani,79.67,18.65,74.35,90,7.63,100,IN,1596674333
Sept-Îles,-66.38,50.2,62.6,100,10.29,75,CA,1596674333
Caucayá,-74.78,-0.19,72.57,83,2.01,100,CO,1596674333
Shakawe,21.85,-18.37,53.85,38,3.2,0,BW,1596674334
Dunedin,170.5,-45.87,48.0,83,1.99,96,NZ,1596674335
Kamphaeng Phet,99.52,16.48,79.63,88,2.89,100,TH,1596674335
Çayeli,40.73,41.09,69.62,69,3.24,14,TR,1596674336
Boden,21.69,65.83,57.2,93,4.7,11,SE,1596674336
Aasiaat,-52.87,68.71,38.93,91,7.7,100,GL,1596674336
Shache,77.24,38.42,77.13,30,7.38,7,CN,1596674337
Pinega,43.39,64.7,56.48,95,6.13,55,RU,1596674337
Thinadhoo,72.93,0.53,82.09,72,11.21,100,MV,1596674337
Toyooka,134.83,35.53,84.2,66,5.82,4,JP,1596674337
Esso,158.7,55.93,60.73,44,7.72,100,RU,1596674339
Eureka,-124.16,40.8,63.0,100,1.99,34,US,1596674339
Louis Trichardt,29.9,-23.04,50.92,92,5.57,0,ZA,1596674339
Vardø,31.11,70.37,50.2,86,10.94,100,NO,1596674340
Ballina,153.57,-28.87,66.0,45,9.17,0,AU,1596674340
Noto,15.07,36.89,72.0,68,3.42,0,IT,1596674340
Qena,32.72,26.16,89.6,33,5.68,0,EG,1596674341
Yar-Sale,70.83,66.83,60.93,58,9.93,0,RU,1596674341
Hyères,6.12,43.12,69.01,77,3.36,0,FR,1596674341
Whitehorse,-135.05,60.72,66.99,42,12.75,75,CA,1596674121
Moose Factory,-80.61,51.26,60.8,77,4.7,90,CA,1596674342
Las Varas,-105.17,21.17,86.0,78,4.7,90,MX,1596674342
Aswān,32.91,24.09,89.82,29,9.78,2,EG,1596674342
Noyabrsk,75.45,63.2,60.98,62,6.8,0,RU,1596674343
Bodaybo,114.19,57.85,65.37,81,2.26,100,RU,1596674343
Carupano,-63.26,10.67,78.96,84,9.73,32,VE,1596674343
Taman',36.72,45.21,69.8,73,6.71,0,RU,1596674343
Kavieng,150.8,-2.57,85.5,73,16.58,100,PG,1596674344
Makakilo City,-158.09,21.35,87.8,52,9.17,75,US,1596674155
